expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.0734,0.0049,46.6765
2,0.2172,0.164,10.3341
3,0.0735,0.0064,45.2192
4,0.0441,0.0,63.6676
5,0.0811,0.012,38.6088
