expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.958,24,8457,0.6178,0.5391
2,202121,normgain,0.9115,8547,9343,0.712,0.0438
3,202121,normgain,0.9599,46,8068,0.8309,0.2341
4,202121,normgain,0.9689,9,6285,0.7633,0.2006
5,202121,normgain,0.9557,62,8893,0.6437,0.2247
