a,b,gain_pearson_r
e1,e2,0.9632
e1,e3,0.9936
e1,e4,0.9569
e1,e5,0.9898
e2,e3,0.9482
e2,e4,0.9479
e2,e5,0.9661
e3,e4,0.9479
e3,e5,0.9907
e4,e5,0.9603
