a,b,agreement
global,e1,0.6246
global,e2,0.9974
global,e3,0.8506
global,e4,0.8706
global,e5,0.8929
e1,e2,0.6258
e1,e3,0.7692
e1,e4,0.7509
e1,e5,0.7293
e2,e3,0.8518
e2,e4,0.8723
e2,e5,0.8939
e3,e4,0.9771
e3,e5,0.9545
e4,e5,0.9627
