K,beta,tune_expert_balanced_nll
2,0.0,1.521189
2,0.5,3.147828
2,1.0,6.494944
4,0.0,0.963119
4,0.5,2.437191
4,1.0,5.841013
8,0.0,1.028887
8,0.5,2.719229
8,1.0,6.394327
