class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9999103899827949,0.9992468573905505,0.9011408481794346,0.9929040212340973,0.9479598222755861,0.9960653417913632,0.04810551951577713
dos-hulk,46025,0.7449857198494093,0.8824120603015075,0.9974796306355241,0.019076588810429115,0.8529387174985369,0.037345810293492133,-0.8155929072050447
dos-goldeneye,2059,0.4815270935960591,0.038179406141480354,0.9494900437105391,0.950461389023798,0.6389932995587514,0.07340998180692837,-0.565583317751823
ftp-patator,1587,0.3949348044132397,0.49320265570660765,0.9924385633270322,0.9829867674858223,0.5650224215246636,0.6568421052631579,0.09181968373849425
ssh-patator,1179,0.12948760698010447,0.2,0.9881255301102629,0.0016963528413910093,0.22897012578616352,0.00336417157275021,-0.2256059542134133
dos-slowloris,1159,0.3475985221674877,0.05263157894736842,0.9741156169111302,0.0008628127696289905,0.5123666893578398,0.001697792869269949,-0.5106688964885698
dos-slowhttptest,1100,0.51996151996152,0.024734982332155476,0.9827272727272728,0.006363636363636364,0.6800880780119535,0.01012292118582791,-0.6699651568261256
web-attack-brute-force,302,0.25806451612903225,0.13333333333333333,0.026490066225165563,0.013245033112582781,0.04804804804804805,0.024096385542168676,-0.02395166250587937
web-attack-xss,130,0.05591200733272227,0.11764705882352941,0.9384615384615385,0.03076923076923077,0.10553633217993079,0.04878048780487805,-0.05675584437505274
infiltration,7,0.00641025641025641,0.0,1.0,0.0,0.012738853503184714,0.0,-0.012738853503184714
web-attack-sql-injection,4,0.000683526999316473,0.0,0.5,0.0,0.0013651877133105802,0.0,-0.0013651877133105802
heartbleed,2,0.09523809523809523,0.017241379310344827,1.0,1.0,0.17391304347826086,0.03389830508474576,-0.1400147383935151
