baseline_pred_class,count,rate
normal,486243,0.6919461291727265
dos-hulk,144891,0.20618654993895133
ftp-patator,46114,0.06562234068289129
ssh-patator,9551,0.013591511815550477
dos-slowhttptest,4620,0.006574472263411496
dos-goldeneye,3096,0.00440575024405238
web-attack-sql-injection,2685,0.0038208783608787594
web-attack-xss,2452,0.0034893086558192617
dos-slowloris,2044,0.0029087059104790257
infiltration,983,0.0013988541634055197
web-attack-brute-force,30,4.269137833384089e-05
heartbleed,9,1.2807413500152267e-05
