class,support,prec_baseline,prec_moe,recall_baseline,recall_moe,f1_baseline,f1_moe,delta_f1
normal,371478,0.9998984914031175,0.9992548455362538,0.9015688681429318,0.9927263525700042,0.9481912446473441,0.9959799008546593,0.047788656207315205
dos-hulk,46025,0.7461347119933668,0.86652977412731,0.997153720803911,0.018337859858772405,0.8535718935406477,0.035915657779952766,-0.8176562357606949
dos-goldeneye,2059,0.4736587723537941,0.038127676138575324,0.9519184069936862,0.9514327343370568,0.6325641439406164,0.07331724021781845,-0.559246903722798
ftp-patator,1587,0.3935,0.49206349206349204,0.9918084436042848,0.9766855702583491,0.5634508680866297,0.6544226303567658,0.09097176227013615
ssh-patator,1180,0.13012477718360071,0.2777777777777778,0.9898305084745763,0.00423728813559322,0.23001181567546278,0.008347245409015025,-0.22166457026644776
dos-slowloris,1159,0.3394578313253012,0.0,0.9723899913718723,0.0,0.5032373297611074,0.0,-0.5032373297611074
dos-slowhttptest,1100,0.5226396917148363,0.0392156862745098,0.9863636363636363,0.00909090909090909,0.6832493702770781,0.014760147601476014,-0.6684892226756021
web-attack-brute-force,301,0.34146341463414637,0.1111111111111111,0.046511627906976744,0.016611295681063124,0.08187134502923976,0.028901734104046242,-0.05296961092519352
web-attack-xss,130,0.05740740740740741,0.2857142857142857,0.9538461538461539,0.07692307692307693,0.10829694323144105,0.12121212121212122,0.012915177980680162
infiltration,7,0.0056925996204933585,0.0,0.8571428571428571,0.0,0.011310084825636193,0.0,-0.011310084825636193
web-attack-sql-injection,4,0.0010760401721664275,0.0,0.75,0.0,0.002148997134670487,0.0,-0.002148997134670487
heartbleed,2,0.08695652173913043,0.018691588785046728,1.0,1.0,0.16,0.03669724770642202,-0.12330275229357798
macro avg,425032,0.34150085496228005,0.26070718646069685,0.8665445178875738,0.33717042390456875,0.3981586696791561,0.16412949377018973,-0.23402917590896635
weighted avg,425032,0.96137051765951,0.9702426493272143,0.9125665832219692,0.8779597771461913,0.9301884320201603,0.8772934390237834,-0.0528949929963769
