expert,class_id,threshold,score_scale,local_prior
DoS_Like_Known,0,5.289984703063965,0.5475218892097473,0.04088699817657471
DoS_Like_Known,1,5.289984703063965,0.5475218892097473,0.9142399430274963
DoS_Like_Known,2,5.289984703063965,0.5475218892097473,0.02184392139315605
DoS_Like_Known,3,5.289984703063965,0.5475218892097473,0.02302914671599865
Credential_Web_Like_Known,4,3.7867393493652344,0.48813679814338684,0.4961959421634674
Credential_Web_Like_Known,8,3.7867393493652344,0.48813679814338684,0.3687337040901184
Credential_Web_Like_Known,9,3.7867393493652344,0.48813679814338684,0.09421573579311371
Credential_Web_Like_Known,11,3.7867393493652344,0.48813679814338684,0.04085461050271988
Rare_Fallback_Known,5,3.7873880863189697,0.15542306005954742,0.1666666716337204
Rare_Fallback_Known,6,3.7873880863189697,0.15542306005954742,0.523809552192688
Rare_Fallback_Known,10,3.7873880863189697,0.15542306005954742,0.3095238208770752
