metric,value
unseen_attack_support,288785.0
target_benign_support,413933.0
ood_tpr_unseen_attack_all_reject,0.01571064979136728
ood_tpr_unseen_attack_exp0_ood,2.0776702391052167e-05
ood_tpr_unseen_attack_total,0.015731426493758333
ood_fpr_target_benign_all_reject,0.011956041195072632
ood_fpr_target_benign_exp0_ood,0.010622492045814178
ood_fpr_target_benign_total,0.022578533240886812
known_expert_false_accept_unseen_attack,0.2662361272226743
binary_attack_rate_unseen_attack,0.2819467770140416
binary_attack_rate_target_benign,0.024578856964774493
