Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
airplane,0.963,0.6400797607178464,0.976,0.7192336035372144
automobile,0.971,0.7618673989799921,0.993,0.8299206017551191
bird,0.785,0.6879929886064855,0.881,0.7940513744930149
cat,0.738,0.5754385964912281,0.819,0.6765799256505576
deer,0.683,0.697294538029607,0.834,0.8257425742574257
dog,0.529,0.6011363636363637,0.618,0.7022727272727273
frog,0.63,0.7455621301775148,0.702,0.8158047646717025
horse,0.484,0.6360052562417872,0.647,0.7725373134328358
ship,0.381,0.5482014388489208,0.548,0.7003194888178914
truck,0.267,0.41915227629513346,0.505,0.667989417989418
