expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,2100,0,300,300,300,300,300,300,300
1,54075,2100,4000,820,13,398,16,1719,1013,21
2,5925,2100,4000,12,0,2710,0,1166,18,94
