beta,T,tune_balanced_nll
0.0,0.8,8.613525
0.0,1.0,7.144918
0.0,1.25,6.117567
0.5,0.8,18.503689
0.5,1.0,15.083755
0.5,1.25,12.471442
1.0,0.8,31.138746
1.0,1.0,25.223698
1.0,1.25,20.611062
