model,class,window,validation_FPR_target,threshold,positives,negatives,TP,FP,recall,FPR
global_raw,benign,full_test,0.001,0.9854108095169067,2652203,390270,1534309,302,0.5785036062473348,0.0007738232505701181
global_raw,benign,time_quartile_1,0.001,0.9854108095169067,420631,339986,228933,0,0.5442608842429588,0.0
global_raw,benign,time_quartile_2,0.001,0.9854108095169067,752591,8028,440212,302,0.5849285999965452,0.03761833582461385
global_raw,benign,time_quartile_3,0.001,0.9854108095169067,759904,714,431191,0,0.5674282540952541,0.0
global_raw,benign,time_quartile_4,0.001,0.9854108095169067,719077,41542,433973,0,0.6035139491320123,0.0
global_raw,benign,full_test,0.01,0.8613750338554382,2652203,390270,2364833,2885,0.8916485653624553,0.007392318138724473
global_raw,benign,time_quartile_1,0.01,0.8613750338554382,420631,339986,379404,1,0.9019877279610871,2.9412975828416463e-06
global_raw,benign,time_quartile_2,0.01,0.8613750338554382,752591,8028,671285,2699,0.8919652241390078,0.33619830592924765
global_raw,benign,time_quartile_3,0.01,0.8613750338554382,759904,714,676466,185,0.8901992883311576,0.25910364145658266
global_raw,benign,time_quartile_4,0.01,0.8613750338554382,719077,41542,637678,0,0.8868007181428414,0.0
global_raw,bot,full_test,0.001,0.007707914337515831,41542,3000931,41542,10678,1.0,0.0035582290962371346
global_raw,bot,time_quartile_1,0.001,0.007707914337515831,0,760617,0,10037,,0.01319586598774416
global_raw,bot,time_quartile_2,0.001,0.007707914337515831,0,760619,0,204,,0.00026820260866478485
global_raw,bot,time_quartile_3,0.001,0.007707914337515831,0,760618,0,103,,0.00013541620103652555
global_raw,bot,time_quartile_4,0.001,0.007707914337515831,41542,719077,41542,334,1.0,0.000464484331997825
global_raw,bot,full_test,0.01,0.004519665613770485,41542,3000931,41542,39311,1.0,0.013099601423691515
global_raw,bot,time_quartile_1,0.01,0.004519665613770485,0,760617,0,38494,,0.050608913553075986
global_raw,bot,time_quartile_2,0.01,0.004519665613770485,0,760619,0,272,,0.00035760347821971314
global_raw,bot,time_quartile_3,0.01,0.004519665613770485,0,760618,0,140,,0.00018406085577780173
global_raw,bot,time_quartile_4,0.01,0.004519665613770485,41542,719077,41542,405,1.0,0.00056322201933868
global_raw,brute_force,full_test,0.001,0.00024307305284310132,37696,3004777,37696,4568,1.0,0.001520245928400011
global_raw,brute_force,time_quartile_1,0.001,0.00024307305284310132,37696,722921,37696,519,1.0,0.0007179207686593694
global_raw,brute_force,time_quartile_2,0.001,0.00024307305284310132,0,760619,0,361,,0.0004746134398430752
global_raw,brute_force,time_quartile_3,0.001,0.00024307305284310132,0,760618,0,361,,0.0004746140638270459
global_raw,brute_force,time_quartile_4,0.001,0.00024307305284310132,0,760619,0,3327,,0.004374069014841859
global_raw,brute_force,full_test,0.01,6.554932042490691e-05,37696,3004777,37696,37676,1.0,0.012538700875306221
global_raw,brute_force,time_quartile_1,0.01,6.554932042490691e-05,37696,722921,37696,32592,1.0,0.045083764339395316
global_raw,brute_force,time_quartile_2,0.01,6.554932042490691e-05,0,760619,0,676,,0.0008887498208695812
global_raw,brute_force,time_quartile_3,0.01,6.554932042490691e-05,0,760618,0,694,,0.0009124159564985315
global_raw,brute_force,time_quartile_4,0.01,6.554932042490691e-05,0,760619,0,3714,,0.004882865140102995
global_raw,ddos,full_test,0.001,0.0008653695113025606,262680,2779793,262680,4768,1.0,0.0017152356308545278
global_raw,ddos,time_quartile_1,0.001,0.0008653695113025606,262680,497937,262680,646,1.0,0.0012973528779745228
global_raw,ddos,time_quartile_2,0.001,0.0008653695113025606,0,760619,0,424,,0.0005574407160483764
global_raw,ddos,time_quartile_3,0.001,0.0008653695113025606,0,760618,0,342,,0.00044963437625720136
global_raw,ddos,time_quartile_4,0.001,0.0008653695113025606,0,760619,0,3356,,0.0044121958562696965
global_raw,ddos,full_test,0.01,9.432059596292675e-05,262680,2779793,262680,15488,1.0,0.005571637888144908
global_raw,ddos,time_quartile_1,0.01,9.432059596292675e-05,262680,497937,262680,3480,1.0,0.006988835937076377
global_raw,ddos,time_quartile_2,0.01,9.432059596292675e-05,0,760619,0,1165,,0.0015316472504631096
global_raw,ddos,time_quartile_3,0.01,9.432059596292675e-05,0,760618,0,1482,,0.0019484156304478727
global_raw,ddos,time_quartile_4,0.01,9.432059596292675e-05,0,760619,0,9361,,0.012307081469171819
global_raw,dos,full_test,0.001,0.002057695761322975,39483,3002990,39483,16290,1.0,0.005424593488489805
global_raw,dos,time_quartile_1,0.001,0.002057695761322975,39483,721134,39483,11822,1.0,0.016393624485879183
global_raw,dos,time_quartile_2,0.001,0.002057695761322975,0,760619,0,380,,0.0004995930945716581
global_raw,dos,time_quartile_3,0.001,0.002057695761322975,0,760618,0,649,,0.0008532535385699523
global_raw,dos,time_quartile_4,0.001,0.002057695761322975,0,760619,0,3439,,0.004521317505873506
