model,class,AP,R_at_FPR_001,R_at_FPR_01
global_raw,benign,0.9995868958379018,0.6220768168952376,0.9315338984233107
global_raw,bot,0.999994357979441,1.0,1.0
global_raw,brute_force,0.9999998803647743,1.0,1.0
global_raw,ddos,0.9999980912265439,1.0,1.0
global_raw,dos,0.9998176279830516,0.9989869057569081,1.0
global_raw,infiltration,0.18803557246719882,0.1477922672157401,0.3591855410661176
global_raw,web_attacks,0.21906559958112798,0.9606299212598425,1.0
global_calibrated,benign,0.9995934645866092,0.622176356787169,0.9331287989644835
global_calibrated,bot,0.9999947939407096,1.0,1.0
global_calibrated,brute_force,0.9999998803647743,1.0,1.0
global_calibrated,ddos,0.9999981318536533,1.0,1.0
global_calibrated,dos,0.9998073961586533,0.9989869057569081,1.0
global_calibrated,infiltration,0.18766398276990987,0.14802104781514527,0.3591855410661176
global_calibrated,web_attacks,0.21253124856934166,0.9763779527559056,1.0
designed_e1_raw,benign,0.9990158490719033,0.31503169252127383,0.8659751911901163
designed_e1_raw,bot,0.9979567062740636,0.9971113571806846,0.9971113571806846
designed_e1_raw,brute_force,0.9999812849898604,0.9999469439728353,1.0
designed_e1_raw,ddos,0.9999997346569429,1.0,1.0
designed_e1_raw,dos,0.9998133860135227,1.0,1.0
designed_e1_raw,infiltration,0.199436940151985,0.2081903454587051,0.3364218714253031
designed_e1_raw,web_attacks,0.18601874657531378,0.9212598425196851,0.9448818897637795
designed_e1_calibrated,benign,0.9988689071420827,0.28317628778792575,0.7802268529218918
designed_e1_calibrated,bot,0.9978655302916023,0.9971113571806846,0.9971113571806846
designed_e1_calibrated,brute_force,0.9999770252224565,0.9998938879456706,1.0
designed_e1_calibrated,ddos,0.9999997586708458,1.0,1.0
designed_e1_calibrated,dos,0.9997919516708107,0.9998986905756908,1.0
designed_e1_calibrated,infiltration,0.19955497644287926,0.2088766872569206,0.33687943262411346
designed_e1_calibrated,web_attacks,0.1856185597233102,0.9212598425196851,0.9448818897637795
designed_e2_raw,benign,0.9993354500990624,0.47385249168332894,0.8779595679516237
designed_e2_raw,bot,0.9965882827720807,0.9971113571806846,0.9971113571806846
designed_e2_raw,brute_force,0.9999899618400765,1.0,1.0
designed_e2_raw,ddos,0.9999993069692272,1.0,1.0
designed_e2_raw,dos,0.9999372207208794,0.9998733632196135,1.0
designed_e2_raw,infiltration,0.16856423696927603,0.15465568519789522,0.3383665065202471
designed_e2_raw,web_attacks,0.1429299347764304,0.1732283464566929,0.29133858267716534
designed_e2_calibrated,benign,0.9993544443014096,0.48294644112837515,0.8830526924221109
designed_e2_calibrated,bot,0.9965472834633752,0.9971113571806846,0.9971113571806846
designed_e2_calibrated,brute_force,0.9999912258787834,1.0,1.0
designed_e2_calibrated,ddos,0.999999321049948,1.0,1.0
designed_e2_calibrated,dos,0.9999329856413077,0.9998733632196135,1.0
designed_e2_calibrated,infiltration,0.158756130883982,0.1417295813315031,0.3369938229238161
designed_e2_calibrated,web_attacks,0.13990671597900106,0.1732283464566929,0.2992125984251969
designed_e3_raw,benign,0.9935891408754212,0.5565848466350426,0.6567427153954656
designed_e3_raw,bot,0.9996575683345043,1.0,1.0
designed_e3_raw,brute_force,0.9999990685898089,1.0,1.0
designed_e3_raw,ddos,0.9999897491185675,1.0,1.0
designed_e3_raw,dos,0.9999589485796864,0.9998986905756908,1.0
designed_e3_raw,infiltration,0.12130553645832645,0.1115305422100206,0.17650423244108898
designed_e3_raw,web_attacks,0.14986755374194444,0.9921259842519685,1.0
designed_e3_calibrated,benign,0.993589140859547,0.5565848466350426,0.6567427153954656
designed_e3_calibrated,bot,0.9996575683345043,1.0,1.0
designed_e3_calibrated,brute_force,0.9999990685898089,1.0,1.0
designed_e3_calibrated,ddos,0.9999897491185565,1.0,1.0
designed_e3_calibrated,dos,0.9999589485796864,0.9998986905756908,1.0
designed_e3_calibrated,infiltration,0.12130553341504194,0.1115305422100206,0.17650423244108898
