model,class,support,TP,FP,FN,f1
global_raw,benign,2652203,2641048,8867,11155,0.9962237732166654
global_raw,bot,41542,41422,5,120,0.9984934132025214
global_raw,brute_force,37696,37676,0,20,0.9997346494719525
global_raw,ddos,262680,260395,6,2285,0.9956201811956465
global_raw,dos,39483,38871,27,612,0.9918475140659089
global_raw,infiltration,8742,2840,10762,5902,0.25420694593626925
global_raw,web_attacks,127,113,441,14,0.33186490455212925
global_calibrated,benign,2652203,2641048,8867,11155,0.9962237732166654
global_calibrated,bot,41542,41422,5,120,0.9984934132025214
global_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
global_calibrated,ddos,262680,260395,6,2285,0.9956201811956465
global_calibrated,dos,39483,38871,27,612,0.9918475140659089
global_calibrated,infiltration,8742,2840,10762,5902,0.25420694593626925
global_calibrated,web_attacks,127,113,441,14,0.33186490455212925
designed_e1_raw,benign,2652203,2649867,12769,2336,0.9971579571836513
designed_e1_raw,bot,41542,41415,4,127,0.9984209447812827
designed_e1_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_raw,ddos,262680,258169,0,4511,0.9913391405186532
designed_e1_raw,dos,39483,38871,11,612,0.9920500223313979
designed_e1_raw,infiltration,8742,1177,1978,7565,0.19786500798520634
designed_e1_raw,web_attacks,127,113,423,14,0.34087481146304677
designed_e1_calibrated,benign,2652203,2649867,12769,2336,0.9971579571836513
designed_e1_calibrated,bot,41542,41415,4,127,0.9984209447812827
designed_e1_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e1_calibrated,ddos,262680,258169,0,4511,0.9913391405186532
designed_e1_calibrated,dos,39483,38871,11,612,0.9920500223313979
designed_e1_calibrated,infiltration,8742,1177,1978,7565,0.19786500798520634
designed_e1_calibrated,web_attacks,127,113,423,14,0.34087481146304677
designed_e2_raw,benign,2652203,2131061,2608,521142,0.8905633080032228
designed_e2_raw,bot,41542,41417,64,125,0.9977235223974079
designed_e2_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_raw,ddos,262680,262579,24,101,0.9997620330374294
designed_e2_raw,dos,39483,38857,5,626,0.9919458804007913
designed_e2_raw,infiltration,8742,7114,520969,1628,0.026503981744516368
designed_e2_raw,web_attacks,127,19,80,108,0.168141592920354
designed_e2_calibrated,benign,2652203,2131061,2608,521142,0.8905633080032228
designed_e2_calibrated,bot,41542,41417,64,125,0.9977235223974079
designed_e2_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e2_calibrated,ddos,262680,262579,24,101,0.9997620330374294
designed_e2_calibrated,dos,39483,38857,5,626,0.9919458804007913
designed_e2_calibrated,infiltration,8742,7114,520969,1628,0.026503981744516368
designed_e2_calibrated,web_attacks,127,19,80,108,0.168141592920354
designed_e3_raw,benign,2652203,1877746,6921,774457,0.8277715693859423
designed_e3_raw,bot,41542,41417,26,125,0.998180394047117
designed_e3_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_raw,ddos,262680,257168,5,5512,0.9893873845106212
designed_e3_raw,dos,39483,39017,45,466,0.9934941753135146
designed_e3_raw,infiltration,8742,7345,771004,1397,0.018663661508008605
designed_e3_raw,web_attacks,127,126,3977,1,0.059574468085106386
designed_e3_calibrated,benign,2652203,1877746,6921,774457,0.8277715693859423
designed_e3_calibrated,bot,41542,41417,26,125,0.998180394047117
designed_e3_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e3_calibrated,ddos,262680,257168,5,5512,0.9893873845106212
designed_e3_calibrated,dos,39483,39017,45,466,0.9934941753135146
designed_e3_calibrated,infiltration,8742,7345,771004,1397,0.018663661508008605
designed_e3_calibrated,web_attacks,127,126,3977,1,0.059574468085106386
designed_e4_raw,benign,2652203,2079229,1210,572974,0.8786758009585344
designed_e4_raw,bot,41542,41422,421,120,0.9935120225460214
designed_e4_raw,brute_force,37696,37676,0,20,0.9997346494719525
designed_e4_raw,ddos,262680,262680,31,0,0.9999409963246421
designed_e4_raw,dos,39483,38873,127,610,0.9906094313418192
designed_e4_raw,infiltration,8742,7479,569433,1263,0.025540677601450686
designed_e4_raw,web_attacks,127,125,3767,2,0.062204528489674046
designed_e4_calibrated,benign,2652203,2079229,1210,572974,0.8786758009585344
designed_e4_calibrated,bot,41542,41422,421,120,0.9935120225460214
designed_e4_calibrated,brute_force,37696,37676,0,20,0.9997346494719525
designed_e4_calibrated,ddos,262680,262680,31,0,0.9999409963246421
designed_e4_calibrated,dos,39483,38873,127,610,0.9906094313418192
designed_e4_calibrated,infiltration,8742,7479,569433,1263,0.025540677601450686
designed_e4_calibrated,web_attacks,127,125,3767,2,0.062204528489674046
designed_fixed_region,benign,2652203,2617789,10904,34414,0.991418501708801
designed_fixed_region,bot,41542,41415,22,127,0.9982043649598091
designed_fixed_region,brute_force,37696,37676,0,20,0.9997346494719525
designed_fixed_region,ddos,262680,258184,1,4496,0.9913662849298762
designed_fixed_region,dos,39483,38873,10,610,0.9920884056861394
designed_fixed_region,infiltration,8742,2979,34065,5763,0.13012711309133795
designed_fixed_region,web_attacks,127,22,533,105,0.06451612903225806
designed_validation_region_reference,benign,2652203,2162908,2816,489295,0.8978583527728834
designed_validation_region_reference,bot,41542,41417,63,125,0.9977355399773554
designed_validation_region_reference,brute_force,37696,37676,0,20,0.9997346494719525
