model,macro_f1,accuracy,rows
global_raw,0.795427340234442,0.9933909027294573,3042473
global_calibrated,0.795427340234442,0.9933909027294573,3042473
designed_e1_raw,0.7882060762478843,0.9950089943279694,3042473
designed_e1_calibrated,0.7882060762478843,0.9950089943279694,3042473
designed_e2_raw,0.7249107097108106,0.8278538544138272,3042473
designed_e2_calibrated,0.7249107097108106,0.8278538544138272,3042473
designed_e3_raw,0.6981151860460375,0.7429794775500062,3042473
designed_e3_calibrated,0.6981151860460375,0.7429794775500062,3042473
designed_e4_raw,0.7071740152477277,0.8110126203256364,3042473
designed_e4_calibrated,0.7071740152477277,0.8110126203256364,3042473
designed_fixed_region,0.7382079212685964,0.9850335565837396,3042473
designed_validation_region_reference,0.7470548230334649,0.8382273236278515,3042473
designed_region_constant,0.2495246643986621,0.8701240734100187,3042473
matched_random_e1_raw,0.8166860118605248,0.9962103196971674,3042473
matched_random_e1_calibrated,0.8166860118605248,0.9962103196971674,3042473
matched_random_e2_raw,0.7331730279444656,0.967376210076474,3042473
matched_random_e2_calibrated,0.7331730279444656,0.967376210076474,3042473
matched_random_e3_raw,0.710636698829803,0.790772506444593,3042473
matched_random_e3_calibrated,0.710636698829803,0.790772506444593,3042473
matched_random_e4_raw,0.7096612359214064,0.8238778125557729,3042473
matched_random_e4_calibrated,0.7096612359214064,0.8238778125557729,3042473
matched_random_fixed_region,0.7501612800849399,0.9819416639030157,3042473
matched_random_validation_region_reference,0.776693751799654,0.993374140049887,3042473
matched_random_region_constant,0.2495246643986621,0.8701240734100187,3042473
