true_class,support,benign_gate_rate,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Main_accept_rate,WebBot_Main_selected_rate,WebBot_Main_margin,WebBot_Main_stability,Rare_Micro_accept_rate,Rare_Micro_selected_rate,Rare_Micro_margin,Rare_Micro_stability
benign,454537,0.9972059480306333,1.9800368286850137e-05,0.0008228153043646611,0.0008074150179193332,-0.01014409214258194,0.0012444132007658482,0.000818415222523139,0.000453208429676792,-0.018096202984452248,0.0024797806981951,0.0023210431714029882,0.0012628234885168864,0.002561290981248021,0.002223752439022064,0.0019250358056659854,0.00025080466496676837,0.0013572282623499632,0.0027863059658557177
bot,393,0.007633587786259542,0.0,0.002544529262086514,0.0,-6.038264274597168,0.46394553780555725,0.21119592875318066,0.0,-4.25782585144043,0.9314966797828674,0.9923664122137404,0.9923664122137404,2.199432611465454,0.992334246635437,0.4020356234096692,0.0,-1.3456916809082031,0.9910309910774231
ddos,25606,0.0,0.0,0.9995704131844099,0.9995704131844099,5.950441837310791,0.3386569619178772,0.00039053346871826915,0.0,-10.529424667358398,0.9028863906860352,0.1436382097945794,0.00015621338748730767,-0.23372261226177216,0.9227503538131714,1.0,0.0002733734281027884,5.225833415985107,0.9859474301338196
dos-goldeneye,2059,0.0,0.00048567265662943174,0.9902865468674114,0.9883438562408936,5.072398662567139,0.9700248837471008,0.0,0.0,-9.00125503540039,0.9328218698501587,0.65808644973288,0.004371053909664886,0.1904359608888626,0.7695191502571106,0.5322972316658572,0.006799417192812044,-0.2807614207267761,0.9978480339050293
dos-hulk,46025,0.0,0.0006083650190114068,0.9953503530689842,0.9952199891363389,5.457969665527344,0.6760923862457275,0.0,0.0,-11.694311141967773,0.9078615307807922,0.29255839217816404,0.0015426398696360673,-0.11355435103178024,0.82590252161026,0.6726778924497556,0.0026290059750135797,0.736344039440155,0.9943569898605347
dos-slowhttptest,1100,0.0009090909090909091,0.0027272727272727275,0.9818181818181818,0.9818181818181818,3.365182399749756,0.5602921843528748,0.0,0.0,-6.336236476898193,0.9279018044471741,0.22636363636363635,0.0027272727272727275,-0.15918348729610443,0.9746007323265076,0.2381818181818182,0.011818181818181818,-1.0860544443130493,0.9965963363647461
dos-slowloris,1159,0.0025884383088869713,0.0025884383088869713,0.9352890422778257,0.9352890422778257,3.0485923290252686,0.5723108053207397,0.0,0.0,-8.11563777923584,0.9108902812004089,0.46505608283002586,0.006902502157031924,-0.05225471779704094,0.9573038220405579,0.45297670405522,0.05263157894736842,-0.3882870078086853,0.9954646229743958
ftp-patator,1588,0.0,0.001889168765743073,0.0,0.0,-4.79733943939209,0.4296870827674866,0.9937027707808564,0.9937027707808564,1.6637866497039795,0.3882284164428711,0.9943324937027708,0.0025188916876574307,0.3294477164745331,0.8930166959762573,0.4892947103274559,0.001889168765743073,0.06783022731542587,0.9986699819564819
heartbleed,2,0.0,0.0,0.0,0.0,-2.846949815750122,0.7712641954421997,0.0,0.0,-7.857206344604492,0.95354163646698,0.0,0.0,-0.5501595139503479,0.9202144742012024,1.0,1.0,1.147831916809082,0.8292697072029114
infiltration,7,0.0,0.14285714285714285,0.0,0.0,-2.4171578884124756,0.5412251353263855,0.0,0.0,-2.4821131229400635,0.9775930643081665,0.0,0.0,-0.1318202167749405,0.9919994473457336,0.8571428571428571,0.8571428571428571,1.5309983491897583,0.9997088313102722
portscan,31786,6.292078273453722e-05,0.00031460391367268606,0.00028314352230541747,0.00028314352230541747,-6.006068706512451,0.3547591269016266,0.9834518341408167,0.9832630717926131,2.4936861991882324,0.8977680802345276,0.9947461146416662,0.014754923551248977,0.8224048018455505,0.995721697807312,0.07748694393758258,0.0013213364374252815,-11.498579978942871,0.9920802712440491
ssh-patator,1179,0.0,0.0,0.002544529262086514,0.002544529262086514,-6.086376667022705,0.4680182933807373,0.9830364715860899,0.39100932994062765,0.7488537430763245,0.9888361096382141,0.9974554707379135,0.6055979643765903,0.46841996908187866,0.9472076296806335,0.452078032230704,0.0008481764206955047,0.10691161453723907,0.9983519911766052
web-attack-�-brute-force,302,0.0,0.0,0.10264900662251655,0.10264900662251655,-2.5469114780426025,0.4298015832901001,0.0,0.0,-3.5393292903900146,0.9318006634712219,0.9635761589403974,0.8642384105960265,0.29090607166290283,0.9154374003410339,0.956953642384106,0.033112582781456956,0.6824142336845398,0.9983415603637695
web-attack-�-sql-injection,4,0.0,0.0,0.5,0.5,-3.237039566040039,0.6935406923294067,0.0,0.0,-12.34189510345459,0.9146432876586914,1.0,0.5,0.3338265120983124,0.7270014882087708,1.0,0.0,1.6921974420547485,0.9972248077392578
web-attack-�-xss,130,0.0,0.0,0.0,0.0,-2.778130531311035,0.36712968349456787,0.0,0.0,-2.887190103530884,0.9373207688331604,0.9615384615384616,0.9615384615384616,0.19065633416175842,0.8326452374458313,0.9538461538461539,0.038461538461538464,0.6162577271461487,0.9983655214309692
