expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9131,349,17223,0.5952,0.4585
2,202121,normgain,0.9257,46,14973,0.8053,0.0921
3,202121,normgain,0.9524,1542,8071,0.8143,0.5371
4,202121,normgain,0.9618,35,7695,0.6508,0.4292
