expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15806,12761,15806,0,0,0,0,0,15685,121
2,10637,12761,10637,0,0,0,0,10637,0,0
3,1952906,12761,186000,113766,0,43543,16165,10427,1968,131
4,20651,12761,20651,0,20651,0,0,0,0,0
