K,beta,tune_expert_balanced_nll
2,0.0,2.31156
2,0.5,4.462445
2,1.0,8.073858
4,0.0,1.962048
4,0.5,3.614457
4,1.0,6.984209
8,0.0,1.825208
8,0.5,3.157447
8,1.0,6.445086
