expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,6533,12761,6533,931,0,0,0,5452,27,123
2,15873,12761,15873,0,0,0,0,0,15873,0
3,20616,12761,20616,0,0,0,0,20616,0,0
4,1935325,12761,186000,129124,3453,39579,11503,149,2192,0
5,129,12761,129,0,0,0,0,0,0,129
