expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.953,1957,7545,0.7694,0.1996
2,202122,0.9406,3821,8187,0.8487,0.0509
3,202122,0.6693,48776,18075,0.4977,0.1189
4,202122,0.7016,2659,57661,0.7866,0.0562
5,202122,0.7008,2835,57642,0.6828,0.1178
