class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,105237,92336,-12901,3497428,3497410
bot,5,5,0,41417,41417
brute_force,21110,21110,0,77344,77344
ddos,72,72,0,244288,244288
dos,2,26,24,20365,33248
infiltration,3334,3322,-12,10178,10176
web_attacks,2093,2117,24,241,243
