beta,T,tune_balanced_nll
0.0,0.8,4.860833
0.0,1.0,4.250215
0.0,1.25,3.854247
0.5,0.8,9.410194
0.5,1.0,7.806653
0.5,1.25,6.633402
1.0,0.8,15.617361
1.0,1.0,12.673158
1.0,1.25,10.423112
