class,rows,proposed,accepted
benign,3502926,26629,146
bot,41542,40591,40587
brute_force,115040,0,0
ddos,264872,197280,170686
dos,60594,12874,8553
infiltration,37631,10971,8619
web_attacks,509,107,0
