expert,accepted,helpful,harmful,precision,net
1,40,8,0,1.0,8
2,177541,10636,137,0.9873,10499
3,66,0,0,0.0,0
4,0,0,0,0.0,0
5,50936,688,2,0.9971,686
6,8,0,2,0.0,-2
