expert,proposed,accepted,accept_rate
1,9252,40,0.0043
2,189666,177541,0.9361
3,3480,66,0.019
4,1540,0,0.0
5,71348,50936,0.7139
6,13166,8,0.0006
total,288452,228591,0.056819418987381416
