expert,active_owned_classes,ood_role,pre_auroc,pre_aupr_id,pre_fpr95,pre_id_retain,pre_ood_detect,post_auroc,post_aupr_id,post_fpr95,post_id_retain,post_ood_detect,auroc_delta,fpr95_delta,ood_detect_delta
flood,dos,non_owned_known_attack,0.6043622756854415,0.2952171091898447,0.9970225175587983,0.9654916328349341,0.002810520808984762,0.9317158949505896,0.8120336491383163,0.3742834563284024,0.9926725418358253,0.6257165436715976,0.32735361926514805,-0.622739061230396,0.6229060228626128
flood,dos,unseen,0.908064144552266,0.8886996826655107,0.42416,0.9654916328349341,0.0,0.9398310430075585,0.9214974756611041,0.16699,0.9926725418358253,0.83301,0.03176689845529246,-0.25717,0.83301
flood,dos,target_non_owned_validation,0.6432249998008246,0.3954962133262877,0.9969539702491576,0.9654916328349341,0.0028146857191329224,0.9522270734948504,0.8718839074686608,0.25959113798129196,0.9926725418358253,0.740408862018708,0.30900207369402577,-0.7373628322678656,0.7375941762995751
flood,dos,benign_diagnostic,0.791141921477374,0.7060547481447506,0.99074,0.9654916328349341,0.00736,0.9879829620094399,0.9810339951321821,0.03333,0.9926725418358253,0.96667,0.19684104053206586,-0.95741,0.95931
flood,dos,pooled_attack_out,0.7129505541112339,0.2817007648811384,0.7921961370413542,0.9654916328349341,0.0018056220993843007,0.9346174574597854,0.7916528098581244,0.300165902703785,0.9926725418358253,0.699834097296215,0.22166690334855155,-0.49203023433756915,0.6980284751968308
flood,dos,unseen::ddos,0.908064144552266,0.8886996826655107,0.42416,0.9654916328349341,0.0,0.9398310430075585,0.9214974756611041,0.16699,0.9926725418358253,0.83301,0.03176689845529246,-0.25717,0.83301
brute_force,brute_force,non_owned_known_attack,0.8774200178932962,0.7477283153047283,0.19266303572956173,0.94722,0.8075936011862328,0.9494025759217541,0.8827954336132081,0.150489035900653,0.99994,0.849510964099347,0.07198255802845799,-0.04217399982890874,0.04191736291311421
brute_force,brute_force,unseen,0.22150000000000003,0.48070419750898197,0.7785,0.94722,0.2215,1.0,1.0,0.0,0.99994,1.0,0.7785,-0.7785,0.7785
brute_force,brute_force,target_non_owned_validation,0.889576475242333,0.7808784498105656,0.1717729435443448,0.94722,0.8284892463582594,0.9546579936303277,0.8999116340862787,0.1348581475512234,0.99994,0.8651418524487766,0.0650815183879947,-0.03691479599312139,0.03665260609051724
brute_force,brute_force,benign_diagnostic,0.95195248975,0.9371468370402024,0.04809,0.94722,0.95191,0.9999999994,0.9999999993999942,0.0,0.99994,1.0,0.04804750964999993,-0.04809,0.048089999999999966
brute_force,brute_force,pooled_attack_out,0.6044339444222478,0.41388635386109157,0.4364813797466247,0.94722,0.5636684479515224,0.9704606192045814,0.8827954336132082,0.08785729744127586,0.99994,0.9121427025587241,0.3660266747823335,-0.34862408230534886,0.3484742546072017
brute_force,brute_force,unseen::ddos,0.22150000000000003,0.48070419750898197,0.7785,0.94722,0.2215,1.0,1.0,0.0,0.99994,1.0,0.7785,-0.7785,0.7785
tail,"bot,infiltration,web_attacks",non_owned_known_attack,0.9515947987631695,0.9412889980859178,0.24672154625951156,0.9550714088501795,0.7532784537404884,0.9986433396374136,0.998828661061971,1.2453765395967471e-05,0.9709470143821691,0.9999875462346041,0.04704854087424404,-0.2467090924941156,0.24670909249411566
tail,"bot,infiltration,web_attacks",unseen,0.8949928140608922,0.9277815370421176,0.6358,0.9550714088501795,0.3642,0.8664237370422428,0.9123703976180163,0.77866,0.9709470143821691,0.22134,-0.028569077018649303,0.14286,-0.14286000000000001
tail,"bot,infiltration,web_attacks",target_non_owned_validation,0.9544678503928113,0.9592462475860587,0.21868,0.9550714088501795,0.78132,0.9987417888607211,0.9991447277056482,3e-05,0.9709470143821691,0.99997,0.044273938467909724,-0.21865,0.21865
tail,"bot,infiltration,web_attacks",benign_diagnostic,0.7738724061268542,0.8107596181864981,0.76288,0.9550714088501795,0.23712,0.7839467764363345,0.8197211797562401,0.77216,0.9709470143821691,0.22784,0.01007437030948033,0.009279999999999955,-0.00928000000000001
tail,"bot,infiltration,web_attacks",pooled_attack_out,0.9298744273416184,0.9070557062639871,0.39602600213358713,0.9550714088501795,0.6039739978664129,0.947905562637494,0.9120122115506392,0.2988096425857848,0.9709470143821691,0.7011903574142152,0.018031135295875633,-0.09721635954780233,0.09721635954780228
tail,"bot,infiltration,web_attacks",unseen::ddos,0.8949928140608922,0.9277815370421176,0.6358,0.9550714088501795,0.3642,0.8664237370422428,0.9123703976180163,0.77866,0.9709470143821691,0.22134,-0.028569077018649303,0.14286,-0.14286000000000001
