expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,brute_force,target known,dos,67232,100000,0.67232
flood,dos,target known,dos,60150,60594,0.9926725418358253
flood,infiltration,target known,dos,18,37631,0.0004783290372299434
flood,web_attacks,target known,dos,2,509,0.003929273084479371
flood,unseen::ddos,target unseen,dos,16699,100000,0.16699
flood,benign_diagnostic,benign diagnostic,dos,3333,100000,0.03333
brute_force,brute_force,target known,brute_force,99994,100000,0.99994
brute_force,dos,target known,brute_force,21110,60594,0.3483843284813678
tail,bot,target known,bot,41251,41542,0.9929950411631602
tail,bot,target known,infiltration,5,41542,0.00012036011747147465
tail,dos,target known,infiltration,2,60594,3.300656830709311e-05
tail,infiltration,target known,infiltration,36104,37631,0.9594217533416598
tail,web_attacks,target known,infiltration,7,509,0.0137524557956778
tail,unseen::ddos,target unseen,infiltration,77866,100000,0.77866
tail,benign_diagnostic,benign diagnostic,bot,7,100000,7e-05
tail,benign_diagnostic,benign diagnostic,infiltration,77209,100000,0.77209
