class_name,beta,fire_rate_all,fire_rate_true,mean_conf_all,mean_conf_true
bot,0.2,0.0024333910019315153,0.9872773536895675,0.020048145204782486,0.9756788611412048
heartbleed,0.8,0.0006556195074194569,1.0,0.003756409976631403,0.996812105178833
web-attack-�-brute-force,1.0,0.0018997061198811757,0.9933554817275747,0.4517086446285248,0.5465673804283142
web-attack-�-sql-injection,0.6,0.002237235300250761,0.0,0.4322304129600525,0.45461505651474
web-attack-�-xss,1.0,0.00102672488897764,0.9692307692307692,0.056224070489406586,0.8805692195892334
