expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15346,12761,15346,0,0,0,0,0,15346,0
2,1930847,12761,186000,176905,2092,733,2740,1864,1666,0
3,139,12761,139,0,0,0,0,0,0,139
