K,beta,tune_expert_balanced_nll
2,0.0,0.958781
2,0.5,2.295014
2,1.0,4.860531
4,0.0,1.082882
4,0.5,2.326975
4,1.0,5.128962
8,0.0,1.033343
8,0.5,2.654311
8,1.0,5.92981
