K,beta,tune_expert_balanced_nll
2,0.0,1.102018
2,0.5,2.358117
2,1.0,5.230302
4,0.0,0.91055
4,0.5,2.332229
4,1.0,5.588641
8,0.0,0.78346
8,0.5,2.24251
8,1.0,5.554618
