tau_pre,tau_post,proposal_rate,accepted,helpful,harmful,harm_frac,benign_fpr_added,net_gain,feasible,target_unit
0.9996483325958252,0.5,0.0998,0,0,0,0.0,0.0,0.0,False,normgain
0.9996483325958252,1.0,0.0998,0,0,0,0.0,0.0,0.0,False,normgain
0.9996483325958252,2.0,0.0998,0,0,0,0.0,0.0,0.0,False,normgain
0.9996483325958252,4.0,0.0998,0,0,0,0.0,0.0,0.0,False,normgain
0.9996483325958252,8.0,0.0998,0,0,0,0.0,0.0,0.0,False,normgain
0.9997780919075012,0.0,0.05,5804,0,0,0.0,0.0,1280.9,False,normgain
0.9997780919075012,0.25,0.05,0,0,0,0.0,0.0,0.0,False,normgain
0.9997780919075012,0.5,0.05,0,0,0,0.0,0.0,0.0,False,normgain
0.9997780919075012,1.0,0.05,0,0,0,0.0,0.0,0.0,False,normgain
0.9997780919075012,2.0,0.05,0,0,0,0.0,0.0,0.0,False,normgain
0.9997780919075012,4.0,0.05,0,0,0,0.0,0.0,0.0,False,normgain
0.9997780919075012,8.0,0.05,0,0,0,0.0,0.0,0.0,False,normgain
