expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9673,214,6399,0.8077,0.624
2,202121,normgain,0.9157,9347,7685,0.7789,0.2123
3,202121,normgain,0.9303,69,14010,0.8066,0.3261
