expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15805,12761,15805,0,9,0,0,0,15796,0
2,1973420,12761,186000,86595,19103,43113,23389,11194,2606,0
3,126,12761,126,0,0,0,0,0,0,126
