method,class,precision,recall,f1,support
racepfn_system,benign,0.991322771533182,0.998703655172847,0.994999525734958,3502926
racepfn_system,bot,0.9998792911979142,0.9969909970632131,0.9984330553010945,41542
racepfn_system,brute_force,0.8448779914498523,0.999826147426982,0.9158445405250459,115040
racepfn_system,ddos,0.9999695386630519,0.9914977800598025,0.9957156398104265,264872
racepfn_system,dos,0.9972281395169776,0.6412351057860515,0.7805578713701699,60594
racepfn_system,infiltration,0.8017960740681872,0.2681034253673833,0.40184012426813237,37631
racepfn_system,web_attacks,0.0943952802359882,0.4400785854616896,0.1554476058292852,509
racepfn_system,macro_avg,,,0.7489769089770161,4023114
racepfn_system,weighted_avg,,,0.9839344487288567,4023114
racepfn_system,tail_avg,,,0.5185735951328374,4023114
global_tabpfn,benign,0.991322771533182,0.998703655172847,0.994999525734958,3502926
global_tabpfn,bot,0.9998792911979142,0.9969909970632131,0.9984330553010945,41542
global_tabpfn,brute_force,0.8448779914498523,0.999826147426982,0.9158445405250459,115040
global_tabpfn,ddos,0.9999695386630519,0.9914977800598025,0.9957156398104265,264872
global_tabpfn,dos,0.9972281395169776,0.6412351057860515,0.7805578713701699,60594
global_tabpfn,infiltration,0.8017960740681872,0.2681034253673833,0.40184012426813237,37631
global_tabpfn,web_attacks,0.0943952802359882,0.4400785854616896,0.1554476058292852,509
global_tabpfn,macro_avg,,,0.7489769089770161,4023114
global_tabpfn,weighted_avg,,,0.9839344487288567,4023114
global_tabpfn,tail_avg,,,0.5185735951328374,4023114
global_raw,benign,0.991322771533182,0.998703655172847,0.994999525734958,3502926
global_raw,bot,0.9998792911979142,0.9969909970632131,0.9984330553010945,41542
global_raw,brute_force,0.8448779914498523,0.999826147426982,0.9158445405250459,115040
global_raw,ddos,0.9999695386630519,0.9914977800598025,0.9957156398104265,264872
global_raw,dos,0.9972281395169776,0.6412351057860515,0.7805578713701699,60594
global_raw,infiltration,0.8017960740681872,0.2681034253673833,0.40184012426813237,37631
global_raw,web_attacks,0.0943952802359882,0.4400785854616896,0.1554476058292852,509
global_raw,macro_avg,,,0.7489769089770161,4023114
global_raw,weighted_avg,,,0.9839344487288567,4023114
global_raw,tail_avg,,,0.5185735951328374,4023114
