expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,16071,12761,16071,0,9,0,0,0,15942,120
2,1972878,12761,186000,80144,20642,44565,29887,8080,2682,0
