class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,2000,1207,33,3,757,0
bot,2000,1997,0,0,3,0
brute_force,2000,1341,659,0,0,0
ddos,2000,1991,4,0,5,0
dos,2000,790,531,0,679,3
infiltration,2000,1750,1,47,202,3
web_attacks,509,460,21,0,28,0
