context,rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
C0,20000,0.166,0.166,0.16595,0.16595,0.16595,0.16595,0.0042
anchor,2100,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
expert1,5118,0.067018,0.058617,0.058617,0.058617,0.59535,0.064674,0.097108
expert2,6100,0.296557,0.049836,0.14623,0.049508,0.055738,0.352951,0.04918
expert3,5311,0.056487,0.056487,0.647336,0.056487,0.056675,0.06157,0.06496
expert4,6100,0.04918,0.04918,0.04918,0.04918,0.704918,0.04918,0.04918
