a,b,agreement
global,e1,0.6596
global,e2,0.7447
global,e3,0.6235
global,e4,0.875
e1,e2,0.7222
e1,e3,0.7755
e1,e4,0.7555
e2,e3,0.7114
e2,e4,0.8282
e3,e4,0.712
