class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,1346,274,-1072,1210,1240
bot,1,1,0,1997,1997
brute_force,660,660,0,1341,2000
ddos,0,0,0,1991,1995
dos,0,0,0,790,1321
infiltration,804,759,-45,1797,1751
web_attacks,112,30,-82,460,481
