expert,regime_rows,anchor_rows,block_rows,select_s,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,2100,0,0.0,0.0,300,300,300,300,300,300,300
1,3018,2100,3018,0.0,0.4,43,0,0,0,2747,31,197
2,46662,2100,4000,1.1,0.4,1509,4,592,2,40,1853,0
3,3211,2100,3211,0.0,0.4,0,0,3138,0,1,27,45
4,7109,2100,4000,0.3,0.5,0,0,0,0,4000,0,0
