expert,class,rows,mean_delta,frac_positive
1,benign,3000,-0.11512678338025421,0.2843333333333333
1,bot,3000,1.031371194120279e-06,0.0013333333333333333
1,brute_force,3000,0.9003504531718785,1.0
1,ddos,3000,-0.00036021302585104875,0.012666666666666666
1,dos,3000,2.9120580736730055,0.992
1,infiltration,3000,-0.06688141219593316,0.35333333333333333
1,web_attacks,381,8.980574111482648,0.2887139107611549
2,benign,3000,-0.19114190170103607,0.2776666666666667
2,bot,3000,-0.0011619215771093642,0.0
2,brute_force,3000,-1.0661740270303883,0.0
2,ddos,3000,-0.0014248547610331193,0.0
2,dos,3000,2.7029945682229526,0.9413333333333334
2,infiltration,3000,-0.17023996495857815,0.25666666666666665
2,web_attacks,381,10.998711726738954,0.42782152230971127
3,benign,3000,-0.20205769587960404,0.30433333333333334
3,bot,3000,9.694932800211887e-07,0.0006666666666666666
3,brute_force,3000,6.697180083332107,1.0
3,ddos,3000,-0.00015606079502639437,0.0013333333333333333
3,dos,3000,2.7834523335547066,0.927
3,infiltration,3000,-0.10455811337302225,0.2956666666666667
3,web_attacks,381,9.318546307233913,0.9448818897637795
4,benign,3000,-0.08516466303531563,0.31866666666666665
4,bot,3000,1.1188714067844379e-06,0.0016666666666666668
4,brute_force,3000,-1.155888017177412,0.0
4,ddos,3000,-0.00033819389140082683,0.029
4,dos,3000,1.7712002940772722,0.9236666666666666
4,infiltration,3000,-0.08707155152610249,0.31333333333333335
4,web_attacks,381,13.1584227194652,0.9973753280839895
