method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,12509,0.871,0.9022,0.0257,0.38
global_tabpfn,12509,0.781,0.8313,0.0754,0.395
xgboost,12509,0.8676,0.9145,0.0103,0.3475
