a,b,gain_pearson_r
e1,e2,0.338
e1,e3,0.9588
e1,e4,0.9446
e1,e5,0.9824
e1,e6,0.8895
e1,e7,0.914
e1,e8,-0.7611
e2,e3,0.2853
e2,e4,0.2556
e2,e5,0.2801
e2,e6,0.1975
e2,e7,0.4165
e2,e8,-0.4753
e3,e4,0.9801
e3,e5,0.9693
e3,e6,0.931
e3,e7,0.9394
e3,e8,-0.7059
e4,e5,0.9706
e4,e6,0.95
e4,e7,0.939
e4,e8,-0.672
e5,e6,0.9161
e5,e7,0.9068
e5,e8,-0.7341
e6,e7,0.8643
e6,e8,-0.6025
e7,e8,-0.613
