expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12224,0,2000,2000,2000,2000,2000,2000,224
1,28680,12224,28680,4,28676,0,0,0,0,0
2,1725885,12224,186000,185258,60,0,0,0,682,0
3,4616,12224,4616,0,0,4616,0,0,0,0
4,3524,12224,3524,0,0,0,0,3524,0,0
5,21468,12224,21468,1,0,21467,0,0,0,0
6,6208,12224,6208,0,0,0,0,0,6171,37
7,206010,12224,186000,47,0,0,163298,22655,0,0
8,3609,12224,3609,3530,0,0,0,0,13,66
