class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,7195,7195,0,2647875,2647875
bot,5,5,0,41395,41395
brute_force,0,0,0,37676,37676
ddos,9,9,0,262218,262218
dos,12,12,0,38868,38868
infiltration,3948,3948,0,2733,2733
web_attacks,428,428,0,111,111
