expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.03626789403303652,0.24244
1,bot,31156,0.5254529778076136,1.0
1,brute_force,28256,0.19501351964215188,0.9997876557191393
1,ddos,100000,0.027050184637091038,0.99988
1,dos,29613,0.23775798814104032,0.9459359065275386
1,infiltration,7537,31.568095837722602,0.8536553005174473
1,web_attacks,115,1308.9633025063458,0.9826086956521739
2,benign,100000,0.0066380671977942,0.59163
2,bot,31156,-0.41622100823544,0.0
2,brute_force,28256,0.10307675206394991,0.9221404303510758
2,ddos,100000,-0.10864407212097232,0.00201
2,dos,29613,-0.03878219968960765,0.07567622328031608
2,infiltration,7537,-40.910139516953535,0.05413294414223166
2,web_attacks,115,583.5367561039469,0.8869565217391304
3,benign,100000,-0.03871604854341831,0.03462
3,bot,31156,0.29208437121598757,0.9993901656181795
3,brute_force,28256,0.17874443181328603,0.9992214043035108
3,ddos,100000,-0.013730597219496175,0.40995
3,dos,29613,0.18068622343380372,0.8697869179076757
3,infiltration,7537,28.402185649527272,0.7785591083985671
3,web_attacks,115,1049.9161546964954,0.8
4,benign,100000,-0.03958541997232461,0.05805
4,bot,31156,-0.10916221439776742,0.003177558094749005
4,brute_force,28256,-1.8254711449904217,0.0
4,ddos,100000,-0.06661561684873972,0.00622
4,dos,29613,-0.05064804241909941,0.07962719076081451
4,infiltration,7537,28.63885184074583,0.7939498474193977
4,web_attacks,115,1193.684208127683,0.7913043478260869
5,benign,100000,-0.03752970944418633,0.19951
5,bot,31156,0.5239011718627332,1.0
5,brute_force,28256,0.1562979306005601,0.9738816534541337
5,ddos,100000,0.0265904884302237,0.97882
5,dos,29613,0.23457969636169956,0.6041265660351872
5,infiltration,7537,30.954824796032128,0.8466233249303436
5,web_attacks,115,1263.185341263031,0.7913043478260869
6,benign,100000,-0.07550879422277379,0.04228
6,bot,31156,0.00203619019748278,0.6528758505584799
6,brute_force,28256,-0.1681819317194481,0.002760475651189128
6,ddos,100000,-0.03402154150811433,0.00966
6,dos,29613,-0.012828808575455163,0.1768480059433357
6,infiltration,7537,38.185189368463696,0.8068196895316438
6,web_attacks,115,1162.2987752478575,1.0
7,benign,100000,-0.04551836769208311,0.13553
7,bot,31156,0.5248146962603327,0.9999679034535884
7,brute_force,28256,0.1990044360602855,1.0
7,ddos,100000,0.027484985023365525,1.0
7,dos,29613,0.2345020124268249,0.9706547799952724
7,infiltration,7537,31.05340690404669,0.8429083189597983
7,web_attacks,115,1234.8347346587748,0.7739130434782608
8,benign,100000,-0.04014243048612319,0.0131
8,bot,31156,0.3428538488305096,0.9999037103607652
8,brute_force,28256,0.04990408652335184,0.7308182332955833
8,ddos,100000,0.0096408719945161,0.69665
8,dos,29613,0.22458040423290873,0.6628507749974674
8,infiltration,7537,29.450081849207287,0.8180973862279421
8,web_attacks,115,-3913.9887948993205,0.20869565217391303
