bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,28680,28680,True,False
residual,2,186000,1725885,True,True
residual,3,4616,4616,True,False
residual,4,3524,3524,True,False
residual,5,21468,21468,True,False
residual,6,6208,6208,True,False
residual,7,186000,206010,True,True
residual,8,3609,3609,True,False
