round,expert,coverage,regime_tune_rows,marginal,action
0,1,0.6474,272,0.0153,kept(prune off)
0,2,0.4032,32980,0.0105,kept(prune off)
0,3,0.4567,2997,0.0,kept(prune off)
0,4,0.0658,73,0.2919,kept(prune off)
0,5,0.5496,12062,0.0,kept(prune off)
0,6,0.0664,2640,5.1237,kept(prune off)
0,7,0.653,42255,0.0018,kept(prune off)
0,8,0.4174,75,27.3902,kept(prune off)
