a,b,agreement
global,e1,0.928
global,e2,0.9966
global,e3,0.9323
global,e4,0.9307
global,e5,0.9293
global,e6,0.8846
global,e7,0.9176
global,e8,0.9235
e1,e2,0.9248
e1,e3,0.9762
e1,e4,0.9808
e1,e5,0.9836
e1,e6,0.9509
e1,e7,0.9698
e1,e8,0.9768
e2,e3,0.9292
e2,e4,0.9276
e2,e5,0.9262
e2,e6,0.8813
e2,e7,0.9145
e2,e8,0.9204
e3,e4,0.9861
e3,e5,0.9794
e3,e6,0.9501
e3,e7,0.9619
e3,e8,0.9865
e4,e5,0.982
e4,e6,0.9517
e4,e7,0.9654
e4,e8,0.9863
e5,e6,0.9496
e5,e7,0.9654
e5,e8,0.9796
e6,e7,0.9598
e6,e8,0.958
e7,e8,0.9635
