expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.7355,0.0026,1.9556
2,0.2972,0.1627,1.2345
3,0.4569,0.0,2.725
4,0.0504,0.0,24.4921
5,0.6771,0.0008,2.0628
6,0.1249,0.0004,11.5615
7,0.7016,0.0038,2.0269
8,0.5009,0.0002,1.7525
