class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,2652203,2647875,0,0,4328,0
bot,41542,41395,0,0,147,0
brute_force,37696,37676,0,0,20,0
ddos,262680,262218,0,0,462,0
dos,39483,38868,0,0,615,0
infiltration,8742,2733,0,0,6009,0
web_attacks,127,111,0,0,16,0
