expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,150713,normgain,0.9579,178,6171,0.7596,0.6936
2,150713,normgain,0.9362,1913,7703,0.7064,0.4011
3,150713,normgain,0.929,158,10542,0.7936,0.6604
4,150713,normgain,0.98,558,2454,0.6605,0.6452
5,150713,normgain,0.9563,513,6075,0.7455,0.6932
6,150713,normgain,0.9427,445,8188,0.7495,0.7717
7,150713,normgain,0.9623,300,5384,0.7758,0.7398
8,150713,normgain,0.9551,981,5787,0.7523,0.6851
