K,beta,tune_expert_balanced_nll
2,0.0,4.433936
2,0.5,7.562338
2,1.0,13.052799
4,0.0,3.143084
4,0.5,6.546941
4,1.0,13.327496
8,0.0,2.636495
8,0.5,6.494335
8,1.0,13.808624
