metric,value
baseline_macro_f1,0.8258527814183195
moe_macro_f1,0.742634322790771
baseline_weighted_f1,0.9972732417709446
moe_weighted_f1,0.9940516117812891
test_binary_attack_rate,0.20291688829904733
test_benign_by_binary_rate,0.7970831117009527
test_all_reject_rate,0.0014844215262327326
test_multi_accept_rate,0.15722321281833332
select_mode,meta_router
threshold_mode,per_class_min
threshold_quantile,0.05
external_ood_data,
sc_ood_data,
threshold_DoS_DDoS,3.1397311687469482
threshold_Scan_Brute,4.383504390716553
threshold_WebBot_Rare,1.557186484336853
