dataset,cls,f1,support
cic2018,benign,0.876102,100000
cic2018,bot,0.997805,41542
cic2018,brute_force,0.904438,100000
cic2018,ddos,0.992332,100000
cic2018,dos,0.782214,60594
cic2018,infiltration,0.488323,37631
cic2018,web_attacks,0.603214,509
bot_iot,benign,0.835749,10399
bot_iot,ddos,0.031101,100000
bot_iot,dos,0.65199,100000
bot_iot,reconnaissance,0.958685,100000
bot_iot,theft,0.387097,323
ton_iot,backdoor,0.999139,40678
ton_iot,benign,0.610982,100000
ton_iot,ddos,0.983692,100000
ton_iot,dos,0.82464,40692
ton_iot,injection,0.961313,76356
ton_iot,mitm,0.745763,1204
ton_iot,password,0.980562,100000
ton_iot,ransomware,0.818829,795
ton_iot,scanning,0.00092,100000
ton_iot,xss,0.928172,100000
cic2017_full,bot,0.0,392
cic2017_full,ddos,0.953105,25605
cic2017_full,dos-goldeneye,0.964336,2060
cic2017_full,dos-hulk,0.97753,46026
cic2017_full,dos-slowhttptest,0.819533,1101
cic2017_full,dos-slowloris,0.808015,1160
cic2017_full,ftp-patator,0.996205,1587
cic2017_full,heartbleed,0.8,3
cic2017_full,infiltration,0.857143,8
cic2017_full,normal,0.979788,100000
cic2017_full,portscan,0.985019,31762
cic2017_full,ssh-patator,0.999152,1180
cic2017_full,web-attack-brute-force,0.689103,302
cic2017_full,web-attack-sql-injection,0.5,5
cic2017_full,web-attack-xss,0.270073,131
cic2018,macro_avg,0.806347,440276
cic2018,weighted_avg,0.874039,440276
cic2018,tail_avg,0.696447,440276
bot_iot,macro_avg,0.572925,310722
bot_iot,weighted_avg,0.556747,310722
bot_iot,tail_avg,0.387097,310722
ton_iot,macro_avg,0.785401,659725
ton_iot,weighted_avg,0.757259,659725
ton_iot,tail_avg,0.782296,659725
cic2017_full,macro_avg,0.773267,211322
cic2017_full,weighted_avg,0.972461,211322
cic2017_full,tail_avg,0.623264,211322
