expert,proposed,accepted,accept_rate
1,9199,58,0.0063
2,100239,1011,0.0101
3,28293,2979,0.1053
4,30934,10732,0.3469
5,199486,20597,0.1033
6,60294,397,0.0066
7,24907,91,0.0037
total,453352,35865,0.01578757621417752
