class,fp_global,fp_final,fp_delta,tp_global,tp_final
backdoor,65,65,0,39992,40010
benign,43813,11637,-32176,1257459,1256392
ddos,1932,1931,-1,99788,99797
dos,357,5768,5411,21910,21998
injection,7491,7600,109,66228,66243
mitm,41352,43824,2472,1063,1064
password,51049,51069,20,210362,210374
ransomware,7913,7913,0,648,648
scanning,48,219,171,497,2364
xss,112944,113683,739,306812,329124
