bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,2198,2198,True,False
residual,2,60211,60211,True,False
residual,3,4498,4498,True,False
residual,4,1314,1314,True,False
residual,5,391,391,True,False
residual,6,25877,25877,True,False
residual,7,186000,1072640,True,True
