a,b,gain_pearson_r
e1,e2,0.9768
e1,e3,0.9641
e1,e4,0.9847
e1,e5,0.9825
e1,e6,0.9517
e1,e7,0.9242
e2,e3,0.9423
e2,e4,0.9772
e2,e5,0.9826
e2,e6,0.955
e2,e7,0.9109
e3,e4,0.9638
e3,e5,0.9647
e3,e6,0.925
e3,e7,0.9075
e4,e5,0.9798
e4,e6,0.9527
e4,e7,0.9275
e5,e6,0.947
e5,e7,0.8916
e6,e7,0.9002
