class,rows,weight,mean_residual,clipped_rows
backdoor,30129,3.8742088318757366,0.30668493377396455,24
benign,504273,0.23147739694957353,0.045902362055639474,0
ddos,153412,0.7608753183812949,0.1193533762697096,0
dos,17071,6.837593357349969,0.8110269685191405,601
injection,50361,2.31779028727159,0.6880598993449604,347
mitm,821,142.13452054794521,14.1790837025921,63
password,159360,0.7324786137069941,0.13164334368358085,0
ransomware,537,217.0673640167364,118.31602742680566,458
scanning,4470,26.112180526816175,39.721362435897255,4344
xss,246841,0.4728873039730029,0.13116838399945852,0
